1,"XXS以下","2019-02-07 07:08:22","2019-02-07 07:08:22"
2,"XS(SS)","2019-02-07 07:08:22","2019-02-07 07:08:22"
3,"S","2019-02-07 07:08:22","2019-02-07 07:08:22"
4,"M","2019-02-07 07:08:22","2019-02-07 07:08:22"
5,"L","2019-02-07 07:08:22","2019-02-07 07:08:22"
6,"2L","2019-02-07 07:08:22","2019-02-07 07:08:22"
7,"3L","2019-02-07 07:08:22","2019-02-07 07:08:22"
8,"4L","2019-02-07 07:08:22","2019-02-07 07:08:22"
9,"FREE SIZE","2019-02-07 07:08:22","2019-02-07 07:08:22"
